title;release_year;parental_guidelines;duration;genre;date_added;average_rating;description;streaming;genre_parental_guidelines_and_description
Tell No One;2007;Adults;131 min;'Drama', 'Suspense';April 24, 2022;8.3;Based on Harlan Coben's international best selling thriller about pediatrician Alexandre Beck who still grieves the murder of his beloved wife. When two bodies are discovered, the police reopen the case and Alex becomes a suspect again. The mystery deepens when Alex receives an anonymous e-mail and a video clip that seems to suggest Margot is somehow still alive and a message to 'Tell no one'.;prime;'Drama', 'Suspense', Adults, Based on Harlan Coben's international best selling thriller about pediatrician Alexandre Beck who still grieves the murder of his beloved wife. When two bodies are discovered, the police reopen the case and Alex becomes a suspect again. The mystery deepens when Alex receives an anonymous e-mail and a video clip that seems to suggest Margot is somehow still alive and a message to 'Tell no one'.
Yellowstone;1936;Older Kids;63 min;'Drama';April 24, 2022;8.7;An ex-con is murdered in Yellowstone National Park while a bank robber's son is searching for the loot his father hid there 20 years before.;prime;'Drama', Older Kids, An ex-con is murdered in Yellowstone National Park while a bank robber's son is searching for the loot his father hid there 20 years before.
The Boys;2022;Adults;"
                    New Season Added:";'Action', 'Comedy', 'Drama';April 23, 2022;8.6;It’s been a year of calm. Homelander’s subdued. Butcher works for the government, supervised by Hughie of all people. But both men itch to turn this peace and quiet into blood and bone. So when The Boys learn of a mysterious Anti-Supe weapon, it sends them crashing into the Seven, starting a war, and chasing the legend of the first Superhero: Soldier Boy.;prime;'Action', 'Comedy', 'Drama', Adults, It’s been a year of calm. Homelander’s subdued. Butcher works for the government, supervised by Hughie of all people. But both men itch to turn this peace and quiet into blood and bone. So when The Boys learn of a mysterious Anti-Supe weapon, it sends them crashing into the Seven, starting a war, and chasing the legend of the first Superhero: Soldier Boy.
A Quiet Place Part II;2021;Teens;97 min;'Drama', 'Fantasy', 'Horror';April 22, 2022;7.1;Following the deadly events at home, the Abbott family must now face the terrors of the outside world as they continue their fight for survival in silence.;prime;'Drama', 'Fantasy', 'Horror', Teens, Following the deadly events at home, the Abbott family must now face the terrors of the outside world as they continue their fight for survival in silence.
Beasts Clawing at Straws;2020;Adults;109 min;'Drama', 'Suspense';April 20, 2022;7.1;Tae-young suffering from debt due to his missing lover. Joong-man making a living for the family through part-time jobs. Yeon-hee who tries to erase the past and live a new life. A huge bag of money appears to them on the edge of their lives. While they were desperately chasing for the bag for their last chance, unexpected events occurs and they plan the last bane to change their lives forever.;prime;'Drama', 'Suspense', Adults, Tae-young suffering from debt due to his missing lover. Joong-man making a living for the family through part-time jobs. Yeon-hee who tries to erase the past and live a new life. A huge bag of money appears to them on the edge of their lives. While they were desperately chasing for the bag for their last chance, unexpected events occurs and they plan the last bane to change their lives forever.
Night Sky;2022;Adults;1 Season;'Adventure', 'Drama', 'Fantasy';April 20, 2022;7.4;Irene and Franklin York, a retired couple, have a secret: a Chamber buried in their backyard that miraculously leads to a strange, deserted planet. When an enigmatic young man arrives, the Yorks quiet existence is upended and the mysterious Chamber they thought they knew so well turns out to be much more than they could have ever imagined. Starring Sissy Spacek and JK Simmons.;prime;'Adventure', 'Drama', 'Fantasy', Adults, Irene and Franklin York, a retired couple, have a secret: a Chamber buried in their backyard that miraculously leads to a strange, deserted planet. When an enigmatic young man arrives, the Yorks quiet existence is upended and the mysterious Chamber they thought they knew so well turns out to be much more than they could have ever imagined. Starring Sissy Spacek and JK Simmons.
Not Fade Away;2012;Adults;112 min;'Arts, Entertainment, and Culture', 'Comedy', 'Drama';April 20, 2022;7.2;Set in suburban New Jersey the 1960s, a group of friends form a rock band and try to make it big in this music-driven coming of age story.;prime;'Arts, Entertainment, and Culture', 'Comedy', 'Drama', Adults, Set in suburban New Jersey the 1960s, a group of friends form a rock band and try to make it big in this music-driven coming of age story.
Sing Me a Song;2019;Older Kids;99 min;'Documentary';April 20, 2022;7.9;As the Internet finally arrives in tiny Bhutan, documentarian Thomas Balmes is there to witness its transformative impact on a young Buddhist monk whose initial trepidation gives way to profound engagement with the technology.;prime;'Documentary', Older Kids, As the Internet finally arrives in tiny Bhutan, documentarian Thomas Balmes is there to witness its transformative impact on a young Buddhist monk whose initial trepidation gives way to profound engagement with the technology.
Star Trek Into Darkness;2013;Teens;132 min;'Action', 'Fantasy', 'Science Fiction';April 20, 2022;7.6;When a ruthless mastermind known as Khan declares a one-man war on the Federation, Captain Kirk, Spock and the daring crew of the U.S.S. Enterprise will embark on the greatest manhunt in history.;prime;'Action', 'Fantasy', 'Science Fiction', Teens, When a ruthless mastermind known as Khan declares a one-man war on the Federation, Captain Kirk, Spock and the daring crew of the U.S.S. Enterprise will embark on the greatest manhunt in history.
Legacy;2021;ALL_AGES;101 min;'Documentary';April 18, 2022;8.6;Through a succession of images of the planet seen from the sky, Legacy is an ode to the beauty of nature and humanity. The film also sounds like a warning. Life on Earth has never been so threatened. If it is not too late to act, it is now.;prime;'Documentary', ALL_AGES, Through a succession of images of the planet seen from the sky, Legacy is an ode to the beauty of nature and humanity. The film also sounds like a warning. Life on Earth has never been so threatened. If it is not too late to act, it is now.
A Man Called Ove;2016;Teens;116 min;'Arthouse', 'Comedy', 'Drama';April 17, 2022;7.7;Based on Fredrik Backman's international best-selling novel, Ove is the quintessential grumpy old man next door. Grieving his late wife, Ove has largely given up on life until a boisterous young family moves in next door and forces him out of his shell in this heartwarming tale that reminds us that life is sweeter when it's shared. Includes English subtitles-user may need to turn subtitles on.;prime;'Arthouse', 'Comedy', 'Drama', Teens, Based on Fredrik Backman's international best-selling novel, Ove is the quintessential grumpy old man next door. Grieving his late wife, Ove has largely given up on life until a boisterous young family moves in next door and forces him out of his shell in this heartwarming tale that reminds us that life is sweeter when it's shared. Includes English subtitles-user may need to turn subtitles on.
Ida;2013;Teens;82 min;'Arthouse', 'Drama', 'International';April 17, 2022;7.4;After encountering a long lost relative, a young novitiate nun in 1960s Poland discovers a shocking family secret dating back to the terrible years of the Nazi occupation, and embarks on a revelatory journey to uncover the mystery of her own past. Winner of the 2015 Academy Award for Best Foreign Film.;prime;'Arthouse', 'Drama', 'International', Teens, After encountering a long lost relative, a young novitiate nun in 1960s Poland discovers a shocking family secret dating back to the terrible years of the Nazi occupation, and embarks on a revelatory journey to uncover the mystery of her own past. Winner of the 2015 Academy Award for Best Foreign Film.
Meru;2015;Adults;90 min;'Arthouse', 'Documentary', 'Sports';April 17, 2022;7.7;Three elite climbers struggle to find their way through obsession and loss as they attempt to climb Mount Meru, one of the most coveted prizes in the high stakes game of Himalayan big wall climbing. Meru is the story of that journey, an expedition through nature's harshest elements and one's complicated inner demons, and ultimately on to impossible new heights.;prime;'Arthouse', 'Documentary', 'Sports', Adults, Three elite climbers struggle to find their way through obsession and loss as they attempt to climb Mount Meru, one of the most coveted prizes in the high stakes game of Himalayan big wall climbing. Meru is the story of that journey, an expedition through nature's harshest elements and one's complicated inner demons, and ultimately on to impossible new heights.
